PopID,Pop,City,Habitat,Distance,Trial,Height_cm,Monarchs,Rhysomatus,Oleander,Tetraopes,Fly,Abundance ,Diversity,Average_Leaf_Herbivory
B1,72,Brantford,2,3.76,Early,91,0,0,0,0,0,0,0,0.004
B1,72,Brantford,2,3.76,Early,112,0,0,0,0,0,0,0,0
B1,72,Brantford,2,3.76,Early,59,1,0,0,0,2,2,2,0.006
B1,72,Brantford,2,3.76,Early,87,0,0,0,0,0,0,0,0
B1,72,Brantford,2,3.76,Early,114,2,1,0,0,2,5,3,0.069
B10,73,Brantford,2,5.04,Early,108,3,0,10,0,0,12,2,0.041
B10,73,Brantford,2,5.04,Early,86,1,0,0,0,0,0,1,0.046
B10,73,Brantford,2,5.04,Early,94,0,0,0,0,1,1,1,0.015
B10,73,Brantford,2,5.04,Early,81,3,0,0,0,3,3,2,0.052
B10,73,Brantford,2,5.04,Early,97,2,0,0,0,1,2,2,0.038
B11,74,Brantford,2,5.16,Early,72,4,0,0,0,0,1,1,0.017
B11,74,Brantford,2,5.16,Early,74,0,0,0,0,1,1,1,0.057
B11,74,Brantford,2,5.16,Early,66,0,1,0,0,0,0,0,0.076
B11,74,Brantford,2,5.16,Early,96,0,0,0,2,0,2,1,0.101
B11,74,Brantford,2,5.16,Early,75,0,0,0,0,0,0,0,0.007
B4,75,Brantford,1,1.29,Early,99,4,0,0,0,0,1,1,0.012
B4,75,Brantford,1,1.29,Early,102,0,0,0,0,0,0,0,0.023
B4,75,Brantford,1,1.29,Early,97,0,0,0,0,0,0,0,0
B4,75,Brantford,1,1.29,Early,144,1,0,0,0,0,0,1,0.006
B4,75,Brantford,1,1.29,Early,153,0,0,0,0,0,0,0,0.029
B6,76,Brantford,1,2.57,Early,79,3,0,0,0,20,20,2,0.076
B6,76,Brantford,1,2.57,Early,93,5,0,6,0,1,7,3,0.006
B6,76,Brantford,1,2.57,Early,134,0,0,26,0,2,28,2,0.009
B6,76,Brantford,1,2.57,Early,121,1,0,0,0,4,4,2,0.024
B6,76,Brantford,1,2.57,Early,112,2,0,33,0,11,44,3,0.075
B8,77,Brantford,1,2.89,Early,179,1,1,0,0,2,2,2,0.012
B8,77,Brantford,1,2.89,Early,112,1,0,0,0,4,4,2,0.009
B8,77,Brantford,1,2.89,Early,141,0,0,0,0,0,0,0,0.01
B8,77,Brantford,1,2.89,Early,132,0,0,0,0,1,1,1,0.003
B8,77,Brantford,1,2.89,Early,147,0,0,0,0,0,0,0,0.001
G12,78,Guelph,1,1.67,Early,123,1,1,0,0,0,0,1,0.055
G12,78,Guelph,1,1.67,Early,148,2,1,0,0,1,2,2,0.07
G12,78,Guelph,1,1.67,Early,157,0,0,0,0,0,0,0,0
G12,78,Guelph,1,1.67,Early,128,0,0,0,0,0,0,0,0
G12,78,Guelph,1,1.67,Early,119,0,1,0,0,1,1,1,0.008
G15,79,Guelph,2,4.6,Early,67,0,1,0,0,1,1,1,0.005
G15,79,Guelph,2,4.6,Early,126,0,0,0,0,1,1,1,0.003
G15,79,Guelph,2,4.6,Early,63,1,1,9,0,0,10,2,0.089
G15,79,Guelph,2,4.6,Early,107,2,0,0,0,3,4,2,0.012
G15,79,Guelph,2,4.6,Early,104,0,0,0,0,2,2,1,0.003
G16,80,Guelph,2,4.2,Early,69,0,0,0,0,0,0,0,0
G16,80,Guelph,2,4.2,Early,83,0,0,0,0,0,0,0,0.007
G16,80,Guelph,2,4.2,Early,94,0,1,0,0,0,0,0,0.015
G16,80,Guelph,2,4.2,Early,108,3,0,0,0,0,1,1,0.003
G16,80,Guelph,2,4.2,Early,91,0,1,0,0,0,0,0,0.085
G2,81,Guelph,2,4.09,Early,67,0,0,0,0,1,1,1,0.003
G2,81,Guelph,2,4.09,Early,116,0,0,0,0,0,0,0,0
G2,81,Guelph,2,4.09,Early,81,0,0,0,0,0,0,0,0
G2,81,Guelph,2,4.09,Early,94,0,0,0,0,0,0,0,0.014
G2,81,Guelph,2,4.09,Early,127,0,1,0,0,1,1,1,0.003
G3,82,Guelph,1,2.75,Early,75,0,1,0,1,0,1,1,0.15
G3,82,Guelph,1,2.75,Early,53,0,1,0,0,0,0,0,0.061
G3,82,Guelph,1,2.75,Early,47,0,1,0,0,1,1,1,0.065
G3,82,Guelph,1,2.75,Early,104,0,1,0,0,0,0,0,0.043
G3,82,Guelph,1,2.75,Early,58,0,1,0,0,1,1,1,0.046
G8,83,Guelph,1,2.38,Early,111,0,0,0,0,0,0,0,0.03
G8,83,Guelph,1,2.38,Early,94,0,0,0,1,0,1,1,0.017
G8,83,Guelph,1,2.38,Early,108,0,0,0,0,0,0,0,0.033
G8,83,Guelph,1,2.38,Early,81,0,0,0,1,0,1,1,0.078
G8,83,Guelph,1,2.38,Early,85,0,0,0,1,0,1,1,0.025
K1,84,Kitchner,2,6.43,Early,79,0,0,0,0,0,0,0,0.005
K1,84,Kitchner,2,6.43,Early,81,0,1,0,0,1,1,1,0.048
K1,84,Kitchner,2,6.43,Early,114,0,0,0,0,1,1,1,0.011
K1,84,Kitchner,2,6.43,Early,109,0,0,0,1,0,1,1,0.16
K1,84,Kitchner,2,6.43,Early,85,0,0,0,2,0,2,1,0.015
K11,85,Kitchner,1,2.31,Early,89,0,0,0,0,0,0,0,0.015
K11,85,Kitchner,1,2.31,Early,115,0,0,0,0,0,0,0,0.015
K11,85,Kitchner,1,2.31,Early,129,1,0,0,0,0,0,1,0.005
K11,85,Kitchner,1,2.31,Early,147,0,0,0,2,0,3,2,0.071
K11,85,Kitchner,1,2.31,Early,143,0,0,0,0,2,2,1,0.097
K17,86,Kitchner,2,6.24,Early,94,0,0,0,0,1,1,1,0.023
K17,86,Kitchner,2,6.24,Early,66,0,0,2,0,9,11,2,0.022
K17,86,Kitchner,2,6.24,Early,97,0,0,157,0,0,157,1,0
K17,86,Kitchner,2,6.24,Early,97,0,1,0,0,0,0,0,0.043
K17,86,Kitchner,2,6.24,Early,101,0,0,100,0,0,100,1,0.008
K2,87,Kitchner,1,5.28,Early,165,0,0,0,0,0,0,0,0
K2,87,Kitchner,1,5.28,Early,116,0,0,0,0,7,7,1,0.025
K2,87,Kitchner,1,5.28,Early,139,1,0,0,0,0,1,1,0.025
K2,87,Kitchner,1,5.28,Early,143,0,0,0,0,1,1,1,0.011
K2,87,Kitchner,1,5.28,Early,136,0,0,0,0,0,0,0,0.006
K5,88,Kitchner,2,7.4,Early,66,1,1,0,0,0,0,1,0.143
K5,88,Kitchner,2,7.4,Early,54,0,1,0,0,0,0,0,0.04
K5,88,Kitchner,2,7.4,Early,66,0,1,0,1,0,1,1,0.017
K5,88,Kitchner,2,7.4,Early,109,1,0,0,0,0,1,1,0.004
K5,88,Kitchner,2,7.4,Early,141,1,0,0,1,1,2,3,0.077
K9,89,Kitchner,1,0.76,Early,68,2,0,0,0,2,4,2,0.013
K9,89,Kitchner,1,0.76,Early,107,0,0,0,0,0,0,0,0.008
K9,89,Kitchner,1,0.76,Early,58,1,0,0,0,0,0,1,0.034
K9,89,Kitchner,1,0.76,Early,144,2,0,0,0,0,0,1,0.014
K9,89,Kitchner,1,0.76,Early,136,0,0,0,0,0,0,0,0.013
L14,90,London,1,1.95,Early,116,0,0,0,0,0,0,0,0.072
L14,90,London,1,1.95,Early,106,0,0,0,1,0,1,1,0.01
L14,90,London,1,1.95,Early,99,0,0,0,0,0,0,0,0.028
L14,90,London,1,1.95,Early,67,0,0,0,0,0,0,0,0.005
L14,90,London,1,1.95,Early,99,3,0,0,0,0,0,1,0.034
L15,91,London,2,8.04,Early,46,1,1,0,0,0,0,1,0.022
L15,91,London,2,8.04,Early,79,0,0,0,0,3,3,1,0.02
L15,91,London,2,8.04,Early,67,1,0,0,0,3,3,2,0.025
L15,91,London,2,8.04,Early,49,0,0,0,0,1,1,1,0.074
L15,91,London,2,8.04,Early,59,3,1,0,0,0,3,1,0.062
L16,92,London,2,7.03,Early,64,0,1,0,0,0,0,0,0.123
L16,92,London,2,7.03,Early,113,0,0,0,0,1,1,1,0.036
L16,92,London,2,7.03,Early,104,2,0,0,0,0,1,1,0.004
L16,92,London,2,7.03,Early,135,0,1,0,0,0,0,0,0.04
L16,92,London,2,7.03,Early,96,0,0,0,0,0,0,0,0.02
L6,93,London,2,6.22,Early,91,0,0,0,0,0,0,0,0.136
L6,93,London,2,6.22,Early,102,0,1,0,0,0,0,0,0.098
L6,93,London,2,6.22,Early,58,0,0,0,0,0,0,0,0.006
L6,93,London,2,6.22,Early,113,0,0,0,0,1,1,1,0.008
L6,93,London,2,6.22,Early,50,0,1,0,0,0,0,0,0.07
L7,94,London,1,3.95,Early,115,1,0,0,0,3,3,2,0.047
L7,94,London,1,3.95,Early,129,1,0,0,3,1,4,3,0.035
L7,94,London,1,3.95,Early,123,1,0,0,0,0,0,1,0.023
L7,94,London,1,3.95,Early,118,0,0,0,2,0,2,1,0.038
L7,94,London,1,3.95,Early,134,0,0,0,0,1,1,1,0.015
L8,95,London,1,2.53,Early,78,0,0,0,0,0,0,0,0.013
L8,95,London,1,2.53,Early,123,1,0,0,0,2,3,2,0.004
L8,95,London,1,2.53,Early,72,0,0,0,0,2,2,1,0.01
L8,95,London,1,2.53,Early,56,1,0,0,0,1,2,2,0.005
S10,96,StCatharines,1,3.02,Early,102,1,0,0,0,3,3,2,0.007
S10,96,StCatharines,1,3.02,Early,122,2,0,0,0,2,2,2,0.098
S10,96,StCatharines,1,3.02,Early,71,1,0,0,0,4,5,2,0.133
S10,96,StCatharines,1,3.02,Early,81,2,0,0,0,0,0,1,0.007
S10,96,StCatharines,1,3.02,Early,90,0,0,0,0,3,3,1,0.024
S11,97,StCatharines,2,3.13,Early,49,0,0,0,0,0,0,0,0.063
S11,97,StCatharines,2,3.13,Early,38,0,0,0,0,0,0,0,0.003
S11,97,StCatharines,2,3.13,Early,45,0,0,0,0,0,0,0,0.083
S11,97,StCatharines,2,3.13,Early,61,0,0,0,2,0,2,1,0.013
S11,97,StCatharines,2,3.13,Early,28,1,0,0,0,0,1,1,0.016
S2,98,StCatharines,1,3.09,Early,116,2,0,0,0,0,1,1,0.009
S2,98,StCatharines,1,3.09,Early,125,0,0,0,0,0,1,1,0.018
S2,98,StCatharines,1,3.09,Early,143,3,0,0,0,0,0,1,0.002
S2,98,StCatharines,1,3.09,Early,150,1,0,8,0,2,10,3,0.073
S2,98,StCatharines,1,3.09,Early,135,4,0,0,0,1,1,2,0.004
S4,99,StCatharines,1,0.6,Early,130,0,0,0,0,4,4,1,0.018
S4,99,StCatharines,1,0.6,Early,118,0,0,0,0,0,0,0,0.018
S4,99,StCatharines,1,0.6,Early,76,0,0,0,0,0,0,0,0.096
S4,99,StCatharines,1,0.6,Early,83,0,0,0,0,0,0,0,0.022
S4,99,StCatharines,1,0.6,Early,91,0,0,0,0,0,0,0,0.005
S8,100,StCatharines,2,3.51,Early,113,0,0,0,0,0,0,0,0.003
S8,100,StCatharines,2,3.51,Early,77,0,0,0,0,1,1,1,0.01
S8,100,StCatharines,2,3.51,Early,148,0,0,0,2,0,2,1,0.008
S8,100,StCatharines,2,3.51,Early,67,0,0,0,0,0,0,0,0.011
S8,100,StCatharines,2,3.51,Early,109,1,0,0,0,3,3,2,0.02
S9,101,StCatharines,2,4.12,Early,138,1,0,0,0,1,1,2,0.018
S9,101,StCatharines,2,4.12,Early,114,1,0,0,0,0,0,1,0.004
S9,101,StCatharines,2,4.12,Early,112,0,0,0,0,0,0,0,0.007
S9,101,StCatharines,2,4.12,Early,133,2,0,0,0,0,0,1,0.003
S9,101,StCatharines,2,4.12,Early,103,1,0,0,0,0,1,1,0.006