PopID,Pop,City,Habitat,Distance,Trial,Monarchs,Euchaetes,Tetraopes,Fly,Abundance ,Diversity,Average_Leaf_Herbivory
B1,67,Brantford,2,3.76,Late,0,0,0,0,0,0,1.9
B1,67,Brantford,2,3.76,Late,0,0,0,0,0,0,2.3
B1,67,Brantford,2,3.76,Late,0,0,0,0,0,0,1
B1,67,Brantford,2,3.76,Late,0,0,0,0,0,0,0.8
B1,67,Brantford,2,3.76,Late,0,0,0,0,0,0,8.1
B10,68,Brantford,2,5.04,Late,0,0,0,0,0,0,11.6
B10,68,Brantford,2,5.04,Late,0,0,0,0,0,0,24.9
B10,68,Brantford,2,5.04,Late,0,0,0,1,1,1,12.6
B10,68,Brantford,2,5.04,Late,0,0,0,0,0,0,2.8
B10,68,Brantford,2,5.04,Late,0,0,0,0,0,0,3.4
B11,69,Brantford,2,5.16,Late,0,0,0,0,0,0,31.8
B11,69,Brantford,2,5.16,Late,0,0,0,9,9,1,26.7
B11,69,Brantford,2,5.16,Late,0,0,0,2,2,1,6.3
B11,69,Brantford,2,5.16,Late,0,0,0,0,0,0,10.6
B11,69,Brantford,2,5.16,Late,0,0,0,0,0,0,24.3
B4,70,Brantford,1,1.29,Late,0,0,0,3,3,2,0.8
B4,70,Brantford,1,1.29,Late,0,0,0,1,1,1,1.7
B4,70,Brantford,1,1.29,Late,0,0,0,0,0,0,18.9
B4,70,Brantford,1,1.29,Late,0,0,0,4,4,1,2.4
B4,70,Brantford,1,1.29,Late,0,0,0,4,4,1,17.3
B6,71,Brantford,1,2.57,Late,0,0,0,25,25,2,5.4
B6,71,Brantford,1,2.57,Late,0,0,0,9,9,2,4.8
B6,71,Brantford,1,2.57,Late,0,0,0,1,1,2,0.8
B6,71,Brantford,1,2.57,Late,0,0,0,7,7,2,11.2
B6,71,Brantford,1,2.57,Late,0,0,0,6,6,2,1.3
B8,72,Brantford,1,2.89,Late,0,0,0,0,0,0,2.7
B8,72,Brantford,1,2.89,Late,0,0,0,3,3,1,0.9
B8,72,Brantford,1,2.89,Late,0,0,0,1,1,1,1.8
B8,72,Brantford,1,2.89,Late,0,0,0,6,6,1,1.9
B8,72,Brantford,1,2.89,Late,0,0,0,10,10,1,1.4
G12,73,Guelph,1,1.67,Late,0,0,0,2,2,1,1.6
G12,73,Guelph,1,1.67,Late,0,0,0,2,2,1,1.6
G12,73,Guelph,1,1.67,Late,0,0,0,0,0,0,6.5
G12,73,Guelph,1,1.67,Late,0,0,0,0,0,0,0.9
G12,73,Guelph,1,1.67,Late,0,0,0,1,1,1,0.8
G15,74,Guelph,2,4.6,Late,0,0,0,3,3,1,1.8
G15,74,Guelph,2,4.6,Late,0,0,0,2,2,1,8.7
G15,74,Guelph,2,4.6,Late,0,0,0,0,0,0,4.9
G15,74,Guelph,2,4.6,Late,0,0,0,2,2,1,2.5
G15,74,Guelph,2,4.6,Late,0,0,0,1,1,1,6.6
G16,75,Guelph,2,4.2,Late,0,0,0,0,0,0,6.5
G16,75,Guelph,2,4.2,Late,0,0,0,0,0,0,2.3
G16,75,Guelph,2,4.2,Late,0,0,0,0,0,1,7.5
G16,75,Guelph,2,4.2,Late,0,0,0,0,0,0,5.1
G16,75,Guelph,2,4.2,Late,0,0,0,1,1,1,1.5
G2,76,Guelph,2,4.09,Late,0,0,0,5,5,1,16.4
G2,76,Guelph,2,4.09,Late,0,0,0,0,0,0,0.1
G2,76,Guelph,2,4.09,Late,0,0,0,3,3,1,6.1
G2,76,Guelph,2,4.09,Late,0,0,0,2,2,1,2.5
G2,76,Guelph,2,4.09,Late,0,25,0,1,26,2,8.7
G3,77,Guelph,1,2.75,Late,0,0,0,2,2,1,4.1
G3,77,Guelph,1,2.75,Late,0,0,0,0,0,0,8.3
G3,77,Guelph,1,2.75,Late,0,0,0,0,0,0,0.6
G3,77,Guelph,1,2.75,Late,0,0,0,0,0,0,5.4
G3,77,Guelph,1,2.75,Late,0,0,1,2,3,2,6.5
G8,78,Guelph,1,2.38,Late,0,0,0,0,0,0,1.7
G8,78,Guelph,1,2.38,Late,0,0,0,2,2,1,3.1
G8,78,Guelph,1,2.38,Late,0,0,0,0,0,0,2.9
G8,78,Guelph,1,2.38,Late,0,0,0,0,0,0,4.2
G8,78,Guelph,1,2.38,Late,0,0,0,0,0,1,2.4
K1,79,Kitchner,2,6.43,Late,0,0,0,2,2,1,1
K1,79,Kitchner,2,6.43,Late,0,0,0,0,0,0,2.3
K1,79,Kitchner,2,6.43,Late,0,0,0,0,0,0,1.9
K1,79,Kitchner,2,6.43,Late,0,0,0,1,1,1,0.6
K1,79,Kitchner,2,6.43,Late,2,0,0,0,2,2,4.1
K11,80,Kitchner,1,2.31,Late,0,0,0,5,5,1,1.3
K11,80,Kitchner,1,2.31,Late,0,0,0,1,1,1,1.2
K11,80,Kitchner,1,2.31,Late,0,0,0,7,7,1,1.8
K11,80,Kitchner,1,2.31,Late,0,0,0,3,3,2,3
K11,80,Kitchner,1,2.31,Late,0,0,0,1,1,2,1.8
K17,81,Kitchner,2,6.24,Late,0,0,0,0,0,1,4.1
K17,81,Kitchner,2,6.24,Late,1,0,0,2,3,3,9.5
K17,81,Kitchner,2,6.24,Late,0,0,0,0,0,1,6.2
K17,81,Kitchner,2,6.24,Late,0,0,0,4,4,2,15.3
K17,81,Kitchner,2,6.24,Late,0,0,0,1,1,2,9.2
K2,82,Kitchner,1,5.28,Late,0,0,0,3,3,1,4.1
K2,82,Kitchner,1,5.28,Late,0,0,0,0,0,0,0.8
K2,82,Kitchner,1,5.28,Late,0,0,0,6,6,1,3.1
K2,82,Kitchner,1,5.28,Late,0,0,0,0,0,0,1.7
K2,82,Kitchner,1,5.28,Late,0,0,0,2,2,1,2.6
K5,83,Kitchner,2,7.4,Late,0,0,0,0,0,0,8.8
K5,83,Kitchner,2,7.4,Late,0,0,0,1,1,1,2.9
K5,83,Kitchner,2,7.4,Late,0,0,0,0,0,0,6.8
K5,83,Kitchner,2,7.4,Late,0,0,0,0,0,0,13.6
K5,83,Kitchner,2,7.4,Late,1,0,1,2,4,3,13.6
K9,84,Kitchner,1,0.76,Late,0,0,0,0,0,0,1.5
K9,84,Kitchner,1,0.76,Late,0,0,0,7,7,1,2.5
K9,84,Kitchner,1,0.76,Late,0,0,0,4,4,2,0.5
K9,84,Kitchner,1,0.76,Late,0,0,0,3,3,2,1.1
K9,84,Kitchner,1,0.76,Late,0,0,0,0,0,1,0.7
L14,85,London,1,1.95,Late,0,0,0,1,1,1,7.1
L14,85,London,1,1.95,Late,0,0,0,0,0,0,4.2
L14,85,London,1,1.95,Late,0,0,1,1,2,2,2.6
L14,85,London,1,1.95,Late,0,0,1,0,1,2,9.2
L14,85,London,1,1.95,Late,0,0,2,8,10,2,4.9
L15,86,London,2,8.04,Late,0,0,0,0,0,0,4
L15,86,London,2,8.04,Late,0,0,0,0,0,0,1.2
L15,86,London,2,8.04,Late,0,0,0,0,0,0,5.6
L15,86,London,2,8.04,Late,0,1,0,0,1,1,5.3
L15,86,London,2,8.04,Late,0,0,2,0,2,2,10
L16,87,London,2,7.03,Late,0,0,0,0,0,0,14.7
L16,87,London,2,7.03,Late,0,0,0,1,1,1,19
L6,88,London,2,6.22,Late,0,0,0,0,0,1,3.8
L6,88,London,2,6.22,Late,0,0,0,0,0,0,8
L6,88,London,2,6.22,Late,1,0,0,0,1,1,13.3
L6,88,London,2,6.22,Late,0,0,0,1,1,1,1.9
L6,88,London,2,6.22,Late,0,0,0,0,0,0,0.8
L7,89,London,1,3.95,Late,1,0,0,0,1,1,3.7
L7,89,London,1,3.95,Late,0,0,0,0,0,0,2.8
L7,89,London,1,3.95,Late,0,0,0,0,0,0,9
L7,89,London,1,3.95,Late,0,0,0,1,1,1,40.7
L7,89,London,1,3.95,Late,0,0,0,0,0,0,5.4
L8,90,London,1,2.53,Late,0,0,0,0,0,0,9.4
L8,90,London,1,2.53,Late,1,0,0,10,11,2,2.8
L8,90,London,1,2.53,Late,0,0,0,0,0,0,0.8
L8,90,London,1,2.53,Late,0,0,0,7,7,1,3.4
L8,90,London,1,2.53,Late,0,0,0,0,0,0,0.5
S11,91,StCatharines,1,3.13,Late,0,0,0,0,0,0,4.2
S11,91,StCatharines,1,3.13,Late,0,0,0,0,0,0,4.8
S11,91,StCatharines,1,3.13,Late,0,0,0,0,0,0,4.9
S11,91,StCatharines,1,3.13,Late,0,0,0,0,0,0,3.5
S11,91,StCatharines,1,3.13,Late,0,0,0,0,0,1,4
S2,92,StCatharines,1,3.09,Late,0,0,0,0,0,1,1.6
S2,92,StCatharines,1,3.09,Late,0,0,0,1,1,2,1.3
S2,92,StCatharines,1,3.09,Late,0,0,0,1,1,2,0.5
S2,92,StCatharines,1,3.09,Late,0,0,0,0,0,0,0.6
S2,92,StCatharines,1,3.09,Late,0,0,1,0,1,2,2.1
S4,93,StCatharines,1,0.6,Late,0,0,0,2,2,1,3.5
S4,93,StCatharines,1,0.6,Late,0,0,0,4,4,1,9.2
S4,93,StCatharines,1,0.6,Late,0,0,0,0,0,0,2.3
S4,93,StCatharines,1,0.6,Late,0,0,0,0,0,0,3
S4,93,StCatharines,1,0.6,Late,0,0,0,0,0,0,0.9
S8,94,StCatharines,2,3.51,Late,0,0,0,2,2,1,1.3
S8,94,StCatharines,2,3.51,Late,0,0,0,10,10,1,2.9
S8,94,StCatharines,2,3.51,Late,0,0,0,0,0,0,0.7
S8,94,StCatharines,2,3.51,Late,0,0,0,0,0,0,1.6
S8,94,StCatharines,2,3.51,Late,0,0,0,3,3,1,1.5
S9,95,StCatharines,2,4.12,Late,0,0,0,1,1,1,1.5
S9,95,StCatharines,2,4.12,Late,0,0,0,0,0,0,6.7
S9,95,StCatharines,2,4.12,Late,0,0,0,0,0,0,2.1
S9,95,StCatharines,2,4.12,Late,0,0,0,0,0,0,4.4
S9,95,StCatharines,2,4.12,Late,0,0,0,0,0,0,5.1